,review_date,review_title,review_text
0,18 June 2023," Besides a soulful score by Ajay Atul, this adaptation of Ramayana is a baffling and collosal dissapointment.
","
Besides a soulful score by Ajay Atul, this adaptation of Ramayana is a baffling and collosal dissapointment.My Rating : 15/100Adipurush is a disgusting mockery of a beloved and celebrated chapter of Indian Mythology. Baring the intimidating Sharad Kelkar's voice and Ajay Atul's profound score, nothing really clicks in this modern adaptation. Om Raut's precarious attempt is a monumental disaster in every aspects of filmaking. Starting from the caricaturish character design of Raavan, cartoonish rendering of the banar sena , cringe dialogues & hurried screenplay everything forces us to bash this misfire. Some salvageable performanaces by Kriti Sanon and Devdatta Nage isnt quite enough to save this project. A mere cash-grabbing project with no acknowledgement of the source material , relying only to play with the Indian sentiments is the prime idea behind this.A proper case of poor casting, whoever decided to cast the stone faced Prabhas to portray the vibrant character of Ram should be easily disbanded from his casting career. A complete misfit as he stirs through with no expressions on his face. Entire film is shot in dark, in order to hide the already flawed CGI. Thor's Asgard is colour graded to black and they have the new Lanka. Wtf are you serious Om Raut? The entire films goes by and i couldn't find anything which i could have related or brought back home. A tiring adaptation to say the least.Overall, if you wish to see this film even if you re a Prabhas fan, you will be largely dissapointed. Only Prasanth Neel's Salaar can revive his degrading career. My suggestion would be to skip this in Theatres and show your kids the Yugo Sako animated version of The Legend of Prince Rama or Ramanand Sagar's version if ever you want them to learn this beautiful epic.Instagram & Twitter : @streamgenx.
"
1,18 June 2023," Pathetic Ramayan parody
","
Adipurush, if one remembers, was supposed to be an modern adaptation of Ramayan and hence the makers chose to have a free run with the creative liberties in this film and it all went wrong .Adipurush itself starts from the middle of Ramayana where lord Ram was sent to the jungles for 14 years exile . Hence the film doesn't have any build up to any character.First, the characters itself have no introduction whatsoever. Makers assume since we know Ramayana, so no need to introduce anyone properly. Lord Ram is just introduced through some pictures in the opening credit while laxman and Sita ma have even further lower introduction. Honestly saying if one didn't tell you that Sunny Singh is laxman, you probably won't know. Jatayu pops up randomly and gets to poorest adieu . It's almost as if Lord Ram doesn't even know who Jatayu is. Bali , the brother of Sugreev, has absolutely no introduction.Next, the setting. If it's a modern adaptation of Ramayana, then why is the Lord Ram side shown to be taken straight from Ramayana but Lanka and it's people especially Raavan are shown as people of some Azguard (Thor) ? Clearly there is inconsistency . If you remember the original Ramayana, both Ram and Raavan side had almost similar kind of dresses with kings wearing king like dresses etc. Here, both sides wear dresses belonging to opposite poles.Next, the execution. It's horrendous. Bali and Sugreev's fight is the worst looking one which gets over in no time without any introduction to Bali. As they fight, you can't even understand who is Bali and who is Sugreev. The part where Sita gets kidnapped by the Sadhu is not accurate. The Sadhu i believe never gave evil smiles . Jatayu's adieu is just ignored. In the earlier Ramayana, Jatayu has a heartfelt conversation with lord Ram in his arms before dying but here, Jatayu is just treated like a random bird. Last but not the least, everything on the lankan side is so poorly executed. Lord Hanuman burns Lanka with his tail but it barely burns, just random explosions here and there that's it.Next, I want to talk about Indrajith and Vibhishan. My god what kind of portrayal is this? Indrajit looks like a party animal from some Noida club and he possesses powers of Flash !! The level of creative liberties they took!! Vibhishan is so hard to believe he's vibhishan as he doesn't act like him only . They all got weird tattoos on their body especially indrajith . Itna bhi modern nahi karna tha !!VFX and dialogues. Let's not talk about it you already know how it is. The final war sequence also looks so cartoonish that it sucks the essence out of it.Let's talk about Raavan played by Saif. He does try very hard to make Raavan look menacing. His character is even given a terrifying bgm . However, the rest things of his looks so weird. His 10 heads rendered VFX looks hilarious at best. His hairstyle is again Noida Gurugram style. He feeds non veg to his dragon vehicle (why is non veg shown in this film at first place?). All these creative choices just don't fit Raavan. The makers have just played around with the Lanka side while fearfully avoiding any creative changes on Ram side .Songs are good as well as the BGM. That's the only reason I gave this film 2 stars.Prabhas as lord Ram should never have been there. He's just angry faced , barely smiles and has no expressions at all. His body is an entire VFX render throughout.Overall, i thought KBKJ was the worst film this year but Adipurush beats it by a mile solely because it has ruined an epic saga so close to all Hindus. Adipurush just shows a part of the entire Ramayana that too with little to no detailing with its running time being 3 hrs and back in 1992, the Yugo Sako version showed all details and the entire tale of Ram in under 2hrs 50 mins. It clearly shows the quality difference of the makers .
"
2,16 June 2023," How can someone make a movie that bad ?
","
Summary:
Adipurush, a movie supposedly based on the Hindu mythology Ramayan, proves to be a disastrous departure from tradition. With its misguided choices in visual effects, abysmal dialogues, and language inconsistencies, the film misses the mark on multiple levels.Detailed Review:
A question to the director and the other heads, how can you be so irresponsible while making this masterpiece of a story into something trash? The blatant disregard for retaining the original character personalities is appalling. Ravan, a Brahmin devotee of Shiv, known for his vegetarianism, is completely transformed in this movie, which not only disrespects the original mythology but also has the potential to hurt the religious sentiments of Hindus.Let's talk about the VFX, or rather the lack thereof. Despite having a higher budget than Brahmastra, Adipurush fails to achieve even a fraction of the visual effects quality. It's clear that more effort should have been put into fixing the VFX instead of just superficially color grading the scenes.The dialogues in Adipurush reach new depths of mediocrity. While attempting to portray a more modern interpretation, the filmmakers fail to put in the necessary effort to create dialogues that can be understood and appreciated by any generation. The result is a disjointed and poorly crafted script that leaves viewers cringing and yearning for substance.In conclusion, my disappointment with Adipurush is immeasurable, and it truly ruined my day. The film's disregard for character authenticity, subpar VFX, and atrocious dialogues render it an abysmal cinematic experience. It fails to deliver on its promise of an engaging and respectful adaptation of the revered Ramayan Epic. It serves as a disservice to both the source material and the audience, leaving a bitter taste in the mouths of those who had hoped for so much more.
"
3,16 June 2023," Tiresome Commercialized Ramayan
","
Don't know where to really start from, this is an epic disappointment on all levels. And the fears really came true, the VFX is so poor that, you start to wonder if this is a beta version of a video game launched several years ago, it is that cartoonish and was an eyesore. Acting wise, none really standout, though the aggressive version of Lord Rama played into the strengths of Prabhas, he was just okayish, Kriti had just to smile and weep. Even with a caricaturish characterisation of Ravan, it was Saif who had put some genuine effort among all the cast and crew. Screenplay is so lazy, the dialogues at places are as cringeworthy as hell. Technically, for a 500Cr project, this has to be the biggest scam in Indian Cinema in the recent times, nothing much about cinematography, as the entire movie was shot indoor, editing is pathetic, action choreography was straight out of many Hollywood movies. Only saving grace is the songs of Ajay-Atul and the score of Sachet-Parampara, it really elevates the proceedings.Coming to director Om Raut, for a man who directed two critically and commercially successful ventures like Lokmanya and Tanhaji, he perhaps overestimated himself and probably went overconfident in directing this, some of the creative choices like Ravan and Lanka design might not go well with the staunch followers of Hindusim, his version of creating a commercial Ramanaya is the worst decision.Bottom-line: Wait for Salaar, stay away from this.
"
4,18 June 2023," Pathetic ScreenPlay, Out of Context dialogues
","
Manoj Muntashir what the hell u have made .....?Can't have worst depiction of holy ramayana than this movie
Out of Context and Derogatory dialoguesAdipurush is merely a Bollywood-ised version of one of the most epic tales that ever existed. If you keep the story aside for it's largely known to all, the execution turns out to be a messy blend of over-the-top CGI and passable VFX, and making it worse are the intentionally funny dialogues that sound misplaced in a sensitive and mythological story. Why would you want Hanuman to say 'Jalegi tere baap ki'?""Better to watch the ancient Ramayana rather then wasting time on this so called Epic.

                    206 out of 225 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

"
5,16 June 2023," Worst movie..
","
""Bhagwan Hanuman ji will be in need of Sanjivani after watching Adipurush ""See the whole movie is a disaster , there is nothing positive point about it , I don't want to talk about VFX . Directing is also worst . Om Raut had no vision and just copy pasted all the Hollywood scenes in this movie . It is a poor compilation of all the Hollywood action scenes . It is everything , but not Ramayan . But my problem isn't even that , the problem how can you get the most basic history wrong.Problems with getting the story wrong
1) Casting : The first basic mistake . Prabhas looks like Ravan with moustache and aggressiveness . Kriti no where looks like Maa Sita , she looks like Devakanya . Saif looks like a tik toker , who just came out of Saloon . And there is a surprise , Dashrath ji character , you couldn't even see that appearance on TV , leave theatre alone .2) Giant Hanuman speaks with Maa Sita : If you read Hanuman Chalisa "" Sukshma roop dhari Siya hi dhikava "" ~ In a small , gentle form you appear in front of Sita Maa , can't you get that right ?3) Asgard Lanka : Lanka is one of the most beautiful city ever created , why did you darken it , it is made of steel .4) Ravan always cunning : According to scriptures Ravan is one of the most intelligent person , he is an astrologist , he is the knower 4 Vedas and 6 Upanishads . In this movie he was always shown cunning and dumb .5) Vanarsena : could be compared to Early Humans , but here they are shown as monkeys
6) Rama asks Vanarsena to fight for him : Rama never asked or encouraged the Vanarsena to fight for him , he just asked Sugreeva to help him .7) Rama : Lord Rama , calm and composed at all situations , but he is always shown aggresive .8) Hairstyles and Dressing : If you look at them , it feels like some tik tokers were in the movie . Ravan army with some darth vader masks , Ravan with a tik tok hairstyle .And I at least expected some powerful scenes to have an impact . They had no impact . Scenes like Jambvant encouraging Hanuman , Hanuman bringing Sanjeevani , Ram Setu , nothing was powerful , it was so cheap . It could be ignored in OTT as well . Please watch Ram Anand Ramayan , it was so beautiful.Please , if you can't write a basic story on Ramayan don't . We won't accept this , why should you change our history . Leave VFX , at least the casting , or at least the story line wasn't perfect . A 6 years old kid knows the story better than you.
"
6,18 June 2023," Absolutely Trash Except That ""Ram Siya Ram"" Song
","
ADIPURUSH for me is absolutely trash movie. Not worth for watch first, the casts are playing as unreal in movie.They don't look kinda real characters.And what to say about dialogue, the used dialogue was totally pathetic 😭 which can't be used for ramayan characters.VFX was what to say, same as before.I don't think they have changed any vfx in this eight months. The ravana Chamgadar is same as before, which i cannot watch 😄 so, unrealistic. The movie budget is not worth to say for this kind of movie.Overall adipurush is a comedy, trashed vfx and down oriented dialogues movie.Watch at your own risk.I am giving 2/10 stars for just a one song which i liked during starting of movie i.e, RAM SIYA RAM .
"
7,18 June 2023," Don't waste your time and money
","
There should be less than 0 rating for such a bad movie, there is a huge difference between Ramayana and Adipurush movie. This movie has done the work of defaming the history of India and the history of Maryada Purushottam Shri Ram, people are watching the movie only to see Prabhas, otherwise a good movie cannot be made in favor of Hinduism from Bollywood everyone knows. None of the cast and crew of Adipurush would have read Ramayana, this is just the irony of Ramayana, it is a request to all Hindus, please do not watch this movie because through this movie, they want to tell a different history to the new generation.
"
8,16 June 2023," A Deeply Disappointing Adaptation: Aadipurush
","
Aadipurush, unfortunately, proves to be an immense letdown and a missed opportunity. The film's visual effects appear artificial and excessive, giving the impression that suitable shooting locations were lacking, leading to the decision to film every scene in a studio with green screens and relying heavily on post-processing effects.The casting choices are severely flawed. Hanuman's character, smaller in stature compared to Ram and Ravan, seems out of place. Throughout the film, Ram's character lacks any semblance of emotion, and there is a noticeable absence of charm on his face. Laxman's portrayal fails to do justice to the character, and the Vanar Sena appears to be a combination of monkeys and chimpanzees, indicating a lack of understanding from the director regarding the distinction between Vanars and other animals. Sita's character lacks the pride and grace befitting the traditional portrayal, instead being presented as a modern interpretation. Moreover, Ravan's character is depicted solely as a dark villain, disregarding his status as a knowledgeable Brahmin. These creative decisions substantially distort the story of Ramayan, misrepresenting several key aspects.The dialogue further adds to the film's disgrace. The characters communicate disrespectfully with each other. Prabhas, portraying Ram, addresses Sita by his father-in-law's name (Janki). Hanuman's character is muzzled, hindering proper communication. Most of the dialogue feels as if it were penned by an amateur writer, lacking the depth and knowledge expected from a well-versed writer.Witnessing this disrespect toward the Hindu epic was deeply disheartening. It is astonishing to contemplate how the actors, writers, and filmmakers could transform such a beautiful story into a subpar production. The film's failure is truly disheartening, as it squanders the opportunity to create a remarkable cinematic experience, instead delivering a dispiriting disappointment. The sheer magnitude of this disgrace compelled me to leave the theater before its conclusion.
"
9,18 June 2023," Waste of time and money.
","
Worst movie of the year 2023. VFX quality is childish. Acting of protagonists is 🤢. Costume designing is 🤧. Hairstyles are 😭.If you want to watch Ramayana, then go for Ramanand Sagar's RAMAYANA. You can watch it free on YouTube.Look, it's your choice, your money, whether you want to watch the movie on big screen or not.These 🤧 types of VFX and acting skills can be seen in Salman Khan's movies. There is no doubt about that.Mr. Director probably thought that Indian youths are dumb, and imotional to Sri Rama. So, they would sure go and watch the movie.Now, the real question:-Is it worthy to go to theater and watch the movie?Well, my suggestion is a big ""NO"".
"
